filename,tempo,energy,brightness,key,scale,dissonance,entropy,danceability,chord_strength,bpm
Love_I_The_Green,108.216217041,0.783663094044,1945.42553711,"{'strength': 0.671129763126, 'key': 'F', 'scale': 'minor'}",,0.465979337692,7.79483270645,1.21171033382,0.608007252216,108.216217041
Love_Somebody_Morgan_Wallen,99.8728713989,0.966341555119,981.284790039,"{'strength': 0.72438532114, 'key': 'B', 'scale': 'major'}",,0.446082681417,7.46751356125,1.21683132648,0.45718473196,99.8728713989
Love_Song_Khalil_Fong,121.925193787,0.934990525246,709.460388184,"{'strength': 0.815762281418, 'key': 'F#', 'scale': 'major'}",,0.405630767345,6.70983409882,1.27340233326,0.506937026978,121.925193787
"Luck_Ra_Bzrp_Music_Sessions,_Vol._61_Bizarrap",125.96434021,0.837110102177,852.540710449,"{'strength': 0.76256275177, 'key': 'D', 'scale': 'major'}",,0.445778638124,7.01528215408,0.927702009678,0.582480013371,125.96434021
Luk_Mig_Ind_Annika,143.850296021,0.808647096157,809.586120605,"{'strength': 0.704889297485, 'key': 'F#', 'scale': 'major'}",,0.427473276854,6.95537853241,1.00150108337,0.521166205406,143.850296021
LUNA_Feid,100.238067627,0.985433757305,1467.36535645,"{'strength': 0.830705404282, 'key': 'Bb', 'scale': 'major'}",,0.461736917496,7.66777706146,2.35520482063,0.525080144405,100.238067627
luther_Kendrick_Lamar,100.007598877,0.96079659462,1266.43933105,"{'strength': 0.562440633774, 'key': 'B', 'scale': 'minor'}",,0.427228718996,7.34921836853,1.34210467339,0.504853487015,100.007598877
LV_Bag_(feat._Pharrell_Williams)_Don_Toliver,128.193130493,0.924185752869,1343.66052246,"{'strength': 0.717809796333, 'key': 'F', 'scale': 'major'}",,0.446923017502,7.56516838074,0.969658315182,0.501632034779,128.193130493
Lyst_Til_At_Hop'_Tempo,91.9934387207,0.976728081703,1477.66381836,"{'strength': 0.713564395905, 'key': 'A', 'scale': 'major'}",,0.447962224483,7.54486608505,2.19967842102,0.547036528587,91.9934387207
L_NAMA_Huan62,99.8381729126,0.947372496128,1184.66381836,"{'strength': 0.733057558537, 'key': 'C', 'scale': 'minor'}",,0.447000861168,7.44170475006,1.12260770798,0.483285605907,99.8381729126
M&M_Neton_Vega,178.205871582,0.970368206501,1080.08129883,"{'strength': 0.77891254425, 'key': 'A', 'scale': 'major'}",,0.449690133333,7.60351705551,1.33570623398,0.591675937176,178.205871582
Macetando_Ivete_Sangalo,105.501152039,0.976730704308,1166.90966797,"{'strength': 0.780615091324, 'key': 'A', 'scale': 'major'}",,0.44357407093,7.33134317398,1.23814833164,0.572424769402,105.501152039
Madonna_Natanael_Cano,111.65625,0.974689185619,1162.69543457,"{'strength': 0.65635150671, 'key': 'C', 'scale': 'minor'}",,0.44749173522,7.40018606186,1.46604418755,0.525798618793,111.65625
Magic_Mrs._GREEN_APPLE,92.2930755615,0.98126077652,1827.62744141,"{'strength': 0.871369302273, 'key': 'E', 'scale': 'major'}",,0.475789397955,7.84161043167,1.05388522148,0.559798538685,92.2930755615
Magnetic_ILLIT,99.9194564819,0.810578942299,1282.29956055,"{'strength': 0.633797049522, 'key': 'C', 'scale': 'major'}",,0.444196015596,7.30163383484,1.26639544964,0.581508338451,99.9194564819
"Malunguinho,_o_Mensageiro_de_Três_Mundos_Wander_Pires",144.529632568,0.918178856373,882.903503418,"{'strength': 0.567057549953, 'key': 'F#', 'scale': 'major'}",,0.449604362249,7.42088460922,0.917830765247,0.485440760851,144.529632568
MAMI_Lil_Naay,95.6402130127,0.98345464468,1082.10119629,"{'strength': 0.597545564175, 'key': 'A', 'scale': 'minor'}",,0.438351720572,7.38258886337,1.39974272251,0.450992166996,95.6402130127
Mantra_JENNIE,140.10798645,0.920744657516,2088.828125,"{'strength': 0.550932168961, 'key': 'F#', 'scale': 'major'}",,0.470246553421,7.77318382263,1.01772427559,0.5017542243,140.10798645
Marilag_Dionela,103.719520569,0.98247718811,880.832946777,"{'strength': 0.866372466087, 'key': 'C#', 'scale': 'major'}",,0.437563717365,7.43205451965,2.13901877403,0.51435559988,103.719520569
MARIO_KART_Seyi_Vibez,95.9673843384,0.94650042057,963.918212891,"{'strength': 0.698682546616, 'key': 'F#', 'scale': 'major'}",,0.45575889945,7.42881441116,1.40186083317,0.503014743328,95.9673843384
masshiro_(pure_white)_Fujii_Kaze,156.153457642,0.984008073807,905.688720703,"{'strength': 0.731394290924, 'key': 'A', 'scale': 'minor'}",,0.435899972916,7.51042938232,1.64221858978,0.44919526577,156.153457642
Mayavi_(From_Bhoomi_2024)_Sonu_Nigam,129.640960693,0.968600869179,1202.18579102,"{'strength': 0.595124542713, 'key': 'E', 'scale': 'minor'}",,0.460103392601,7.65706968307,1.16708481312,0.510635912418,129.640960693
Ma_Baby_Jazeek,114.685325623,0.981395363808,1152.17456055,"{'strength': 0.657168328762, 'key': 'A', 'scale': 'major'}",,0.455732792616,7.63020467758,1.92081916332,0.568714618683,114.685325623
"MEA_CRR_(feat._MV_Killa,_Yung_Snapp,_Lele_Blade,_Vale_Lambo,_Geolier)_SLF",119.966209412,0.962194025517,1496.43688965,"{'strength': 0.506971597672, 'key': 'C#', 'scale': 'minor'}",,0.457059949636,7.8742184639,1.30759394169,0.523735702038,119.966209412
Mendil_Gülden,99.6352767944,0.954021155834,1003.78942871,"{'strength': 0.864387392998, 'key': 'F#', 'scale': 'minor'}",,0.447438299656,7.32696771622,1.32812225819,0.580534279346,99.6352767944
Menjaga_Jodoh_Orang_Lain_Ara_Johari,138.752120972,0.921531677246,787.771484375,"{'strength': 0.672075867653, 'key': 'Eb', 'scale': 'major'}",,0.379844665527,6.61819505692,1.00546276569,0.480475246906,138.752120972
Mercy_Maoli,134.979797363,0.983255684376,895.628479004,"{'strength': 0.811423242092, 'key': 'C', 'scale': 'major'}",,0.425225228071,7.07378196716,1.47947525978,0.497482091188,134.979797363
Messy_Lola_Young,111.01651001,0.970668852329,871.045898438,"{'strength': 0.776624798775, 'key': 'A', 'scale': 'major'}",,0.455798000097,7.38229608536,1.28521597385,0.538390338421,111.01651001
Mexico_Karan_Aujla,164.170639038,0.790574669838,1391.22973633,"{'strength': 0.715749561787, 'key': 'F#', 'scale': 'minor'}",,0.453978419304,7.4171538353,0.9284927845,0.519129514694,164.170639038
me_&_you_YAKARY,98.2227325439,0.764970064163,1337.93322754,"{'strength': 0.711609363556, 'key': 'D', 'scale': 'minor'}",,0.463277935982,7.38725709915,1.0560336113,0.566157817841,98.2227325439
Me_Grita_Lunay,90.053314209,0.982307255268,955.32611084,"{'strength': 0.548886358738, 'key': 'F#', 'scale': 'major'}",,0.430431306362,7.39502573013,1.84653007984,0.493317872286,90.053314209
ME_GUSTAS_CC_ROA,87.2397613525,0.862839818001,1473.07763672,"{'strength': 0.531296849251, 'key': 'Bb', 'scale': 'minor'}",,0.453025013208,7.54163885117,1.12891292572,0.487919390202,87.2397613525
Me_Gusta_Jey_One,99.9646911621,0.980565130711,1516.21813965,"{'strength': 0.568685770035, 'key': 'C', 'scale': 'major'}",,0.457334071398,7.79293775558,1.37731850147,0.475617349148,99.9646911621
Me_has_invitado_a_bailar_Dani_Fernández,82.0409088135,0.846185624599,1235.65991211,"{'strength': 0.764845132828, 'key': 'Bb', 'scale': 'major'}",,0.437062084675,7.2001748085,0.965824723244,0.592151641846,82.0409088135
Me_Ha_Costado_Neton_Vega,99.7568359375,0.979597806931,975.082580566,"{'strength': 0.491855293512, 'key': 'B', 'scale': 'major'}",,0.443661093712,7.42035102844,1.31966972351,0.505337893963,99.7568359375
ME_JALO_Fuerza_Regida,172.265655518,0.958251535892,920.392089844,"{'strength': 0.520203828812, 'key': 'C', 'scale': 'minor'}",,0.423299193382,7.13578367233,1.1921081543,0.448777884245,172.265655518
Michi_Teyu_Ku_(Overflowing)_Fujii_Kaze,156.153457642,0.984008073807,906.012878418,"{'strength': 0.731394290924, 'key': 'A', 'scale': 'minor'}",,0.435902148485,7.51043653488,1.64221858978,0.44919526577,156.153457642
Midnight_Skippa,136.136398315,0.829585433006,1111.5345459,"{'strength': 0.584885954857, 'key': 'E', 'scale': 'minor'}",,0.446611940861,7.40664100647,1.40130829811,0.522300958633,136.136398315
MILLE_VOTE_ANCORA_Rocco_Hunt,122.26713562,0.961636304855,1650.47888184,"{'strength': 0.789334952831, 'key': 'D', 'scale': 'major'}",,0.44630548358,7.73132753372,1.42637503147,0.567893326283,122.26713562
Millionaire_Yo_Yo_Honey_Singh,155.521362305,0.979727387428,1395.81958008,"{'strength': 0.481268018484, 'key': 'F', 'scale': 'major'}",,0.462721168995,7.56606721878,2.38071489334,0.479892581701,155.521362305
Minimum_ça_Dr._Yaro,114.874046326,0.978336393833,1098.33435059,"{'strength': 0.65255266428, 'key': 'C#', 'scale': 'major'}",,0.445645958185,7.63639545441,1.29148697853,0.481059581041,114.874046326
